title,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15,word_16,word_17,word_18,word_19,word_20
France,"('french', 206)","('france', 193)","('de', 68)","('world', 49)","('national', 45)","('one', 44)","('european', 42)","('also', 39)","('largest', 37)","('million', 36)","('first', 36)","('century', 31)","('france,', 31)","('since', 30)","('economic', 28)","('war', 28)","('law', 28)","('government', 27)","('many', 26)","('major', 26)"
Germany,"('germany', 114)","('german', 111)","('european', 29)","('east', 26)","('million', 23)","('federal', 22)","('west', 20)","('world', 19)","('national', 19)","('germany,', 17)","('became', 17)","('include', 17)","('largest', 16)","('one', 15)","('major', 15)","('also', 14)","('country', 13)","('north', 13)","('berlin', 13)","('roman', 13)"
United States,"('united', 149)","('states', 125)","('u.s.', 106)","('american', 85)","(""world's"", 43)","('federal', 35)","('world', 35)","('new', 32)","('first', 32)","('americans', 32)","('war', 30)","('also', 27)","('many', 26)","('country', 25)","('largest', 25)","('states,', 24)","('population', 23)","('national', 23)","('major', 22)","('one', 22)"
North Korea,"('north', 218)","('korea', 159)","('korean', 112)","('kim', 82)","('south', 61)","('il', 42)","('state', 40)","('jong', 36)","('government', 35)","('korea,', 28)","(""korea's"", 27)","('world', 26)","('united', 25)","('foreign', 24)","('party', 23)","('soviet', 21)","('two', 20)","('korea.', 20)","('political', 19)","('military', 19)"
Syria,"('syria', 139)","('syrian', 132)","('arab', 49)","('also', 37)","('war', 35)","('government', 34)","('military', 32)","('civil', 31)","(""syria's"", 31)","('state', 26)","('oil', 25)","('country', 24)","('empire', 23)","('syria,', 23)","('president', 23)","('assyrian', 19)","('several', 18)","('since', 18)","('population', 18)","('french', 17)"
Turkey,"('turkey', 145)","('turkish', 119)","('ottoman', 80)","('first', 50)","('also', 37)","('european', 36)","('sea', 34)","('world', 34)","('empire', 32)","('anatolia', 31)","('became', 31)","('national', 28)","('war', 27)","('turkey,', 27)","(""turkey's"", 26)","('western', 25)","('state', 24)","('central', 23)","(""country's"", 22)","('century', 22)"
Mexico,"('mexico', 172)","('mexican', 115)","('national', 41)","('spanish', 40)","('indigenous', 39)","('political', 38)","('government', 36)","('de', 35)","('first', 34)","('also', 34)","('new', 33)","('world', 33)","('country', 31)","(""mexico's"", 31)","('united', 30)","('mexico.', 30)","('mexico,', 29)","('president', 28)","('one', 27)","('federal', 26)"
Italy,"('italian', 257)","('italy', 194)","('also', 67)","('first', 57)","('one', 53)","('world', 45)","('european', 44)","('country', 43)","('national', 42)","('italy,', 41)","('roman', 38)","('war', 38)","('century,', 34)","('many', 34)","(""italy's"", 31)","('political', 31)","('largest', 29)","('part', 29)","('include', 29)","('known', 28)"
Russia,"('russian', 134)","('russia', 114)","('soviet', 65)","(""world's"", 64)","('first', 47)","(""russia's"", 44)","('war', 35)","('one', 29)","('country', 28)","('largest', 28)","('became', 28)","('world', 24)","('united', 24)","('state', 24)","('among', 23)","('also', 22)","('million', 22)","('many', 22)","('early', 21)","('federal', 21)"
